#x	Curve1
0.00188389	-58.609
0.0141608	-47.2812
0.0264378	-35.9534
0.0376821	-23.2321
0.0499475	-9.09934
0.0611976	2.21947
0.0734745	13.5473
0.0857457	26.2776
0.0990496	37.6144
0.113392	46.1553
0.127734	54.6961
0.142094	59.0296
0.155427	63.354
0.170825	64.8915
0.186228	65.0265
0.201649	60.9542
0.216038	58.2752
0.231453	55.6053
0.245847	51.5239
0.260242	47.4425
0.275663	43.3701
0.290051	40.6912
0.305461	39.4237
0.319849	36.7448
0.335259	35.4774
0.350668	34.2099
0.366078	32.9425
0.38046	31.666
0.395858	33.2035
0.41023	34.732
0.425628	36.2695
0.441026	37.807
0.455391	40.738
0.470789	42.2755
0.485149	46.6089
0.500535	50.9514
0.514901	53.8824
0.530293	56.8223
0.544653	61.1558
0.560051	62.6933
0.575449	64.2308
0.590852	64.3658
0.605241	61.6869
0.620662	57.6145
0.634046	49.3167
0.648458	41.0279
0.660833	28.5136
0.673196	18.8043
0.685571	6.29007
0.697946	-6.22418
0.710327	-20.1409
0.721675	-32.6641
0.73405	-45.1784
0.746424	-57.6926
0.758794	-68.8044
0.77219	-79.9072
0.784559	-91.0189
0.796916	-99.3258
0.811322	-106.212
0.825728	-113.098
0.840128	-118.582
0.854522	-122.664
0.869931	-123.931
0.885335	-123.796
0.900733	-122.259
0.915093	-117.925
