#x	Curve1
0.00459722	2.40074
0.00542518	3.27392
0.00704868	4.14693
0.00786854	4.80178
0.0086965	5.67496
0.00952446	6.54814
0.0103524	7.42132
0.0119759	8.29433
0.0127958	8.94917
0.0136237	9.82235
0.0144517	10.6955
0.0152797	11.5687
0.0161076	12.4419
0.0169356	13.3151
0.0177636	14.1883
0.0185834	14.8431
0.0194114	15.7163
0.0202393	16.5895
0.0210673	17.4626
0.0218953	18.3358
0.0219277	19.2092
0.0227556	20.0824
0.0252395	22.7019
0.0260675	23.5751
0.0260999	24.4484
0.0269279	25.3216
0.0277558	26.1948
0.0294361	28.5962
0.030264	29.4694
0.031092	30.3426
0.03192	31.2157
0.0327479	32.0889
0.0335678	32.7438
0.0336002	33.6171
0.0344282	34.4903
0.0394689	41.6944
0.0402969	42.5676
0.0411248	43.4408
0.0419528	44.314
0.0427807	45.1872
0.0436006	45.842
0.043633	46.7154
0.044461	47.5885
0.045289	48.4617
0.0461169	49.3349
0.0469449	50.2081
0.0477728	51.0813
0.0486008	51.9545
0.0494288	52.8276
0.0502486	53.4825
0.0518721	54.3555
0.0527001	55.2287
0.054356	56.975
0.0559795	57.848
0.0567994	58.5029
0.0584229	59.3759
0.0600383	60.0306
0.0616537	60.6852
0.0648439	60.9029
0.0672143	60.4657
0.0695766	59.8101
0.0711353	58.9364
0.072702	58.2811
0.0742607	57.4074
0.0750238	56.5338
0.0765906	55.8785
0.0773537	55.0049
0.0780844	53.2581
0.0781168	54.1314
0.0788475	52.3845
0.0796106	51.511
0.0803737	50.6375
0.0811368	49.7639
0.081908	49.1088
0.0826712	48.2352
0.0834343	47.3617
0.0970163	27.4897
0.0977794	26.6162
0.0985426	25.7427
0.100109	25.0873
0.100872	24.2138
0.101636	23.3403
0.102399	22.4667
0.103162	21.5932
0.103925	20.7197
0.104688	19.8461
0.105459	19.1909
0.107765	17.007
0.108528	16.1335
0.110087	15.2598
0.110858	14.6046
0.111621	13.7311
0.112384	12.8576
0.113943	11.9839
0.114706	11.1103
0.115477	10.4551
0.11624	9.58161
0.117003	8.70808
0.117766	7.83455
0.118529	6.96102
0.119293	6.08749
0.120056	5.21396
0.120819	4.34043
0.12159	3.68524
0.122353	2.81171
0.123116	1.93818
0.123879	1.06466
0.124642	0.191126
0.125406	-0.682403
0.126169	-1.55593
0.126899	-3.30282
0.126932	-2.42946
0.127671	-3.95801
0.128434	-4.83154
0.129197	-5.70506
0.12996	-6.57859
0.130723	-7.45212
0.131486	-8.32565
0.132249	-9.19918
0.133012	-10.0727
0.133751	-11.6013
0.133776	-10.9462
0.134514	-12.4748
0.135277	-13.3483
0.136041	-14.2218
0.136804	-15.0954
0.137567	-15.9689
0.13833	-16.8424
0.139093	-17.716
0.139864	-18.3711
0.140627	-19.2447
0.14139	-20.1182
0.142154	-20.9917
0.143712	-21.8654
0.144475	-22.739
0.145238	-23.6125
0.146002	-24.486
0.146773	-25.1412
0.147536	-26.0147
0.148299	-26.8883
0.149062	-27.7618
0.149825	-28.6353
0.150588	-29.5089
0.15291	-31.2561
0.153673	-32.1296
0.15524	-32.785
0.156003	-33.6585
0.157562	-34.5322
0.158325	-35.4057
0.159892	-36.0611
0.16145	-36.9348
0.162213	-37.8083
0.16378	-38.4637
0.165339	-39.3374
0.166906	-39.9928
0.168464	-40.8665
0.170031	-41.5218
0.171598	-42.1772
0.173156	-43.0509
0.175519	-43.7064
0.177889	-44.1436
0.180251	-44.7992
0.182622	-45.2364
0.185796	-45.4554
0.188978	-45.4561
0.19216	-45.4568
0.195359	-45.0208
0.197761	-44.5847
0.200164	-44.1485
0.202575	-43.494
0.204191	-42.8393
0.205814	-41.9663
0.207429	-41.3117
0.209053	-40.4387
0.210668	-39.784
0.212292	-38.911
0.213907	-38.2563
0.215531	-37.3833
0.216359	-36.5101
0.217179	-35.8553
0.218802	-34.9823
0.21963	-34.1091
0.221254	-33.2361
0.222073	-32.5812
0.223697	-31.7082
0.224525	-30.835
0.225353	-29.9619
0.226968	-29.3072
0.227796	-28.434
0.228624	-27.5608
0.229452	-26.6877
0.231076	-25.8146
0.231895	-25.1598
0.232723	-24.2866
0.233551	-23.4134
0.235175	-22.5404
0.236003	-21.6672
0.236823	-21.0124
0.238446	-20.1394
0.239274	-19.2662
0.240102	-18.393
0.24093	-17.5199
0.24175	-16.865
0.243373	-15.992
0.244201	-15.1188
0.245029	-14.2456
0.246645	-13.591
0.247473	-12.7178
0.248301	-11.8446
0.249129	-10.9714
0.250752	-10.0984
0.251572	-9.44357
0.2524	-8.57039
0.253228	-7.69721
0.254851	-6.8242
0.255671	-6.16936
0.257295	-5.29635
0.258123	-4.42317
0.258951	-3.54999
0.260566	-2.89532
0.261394	-2.02214
0.262222	-1.14896
0.263845	-0.275949
0.264673	0.597233
0.265493	1.25208
0.266321	2.12526
0.267149	2.99844
0.268773	3.87145
0.269601	4.74463
0.270429	5.61781
0.271249	6.27265
0.272076	7.14583
0.2737	8.01884
0.274528	8.89202
0.275356	9.76521
0.276176	10.42
0.277004	11.2932
0.278627	12.1662
0.279455	13.0394
0.280283	13.9126
0.281111	14.7858
0.281939	15.659
0.281963	16.314
0.282791	17.1872
0.283619	18.0603
0.284447	18.9335
0.285275	19.8067
0.286103	20.6799
0.286931	21.5531
0.287759	22.4263
0.288587	23.2994
0.289407	23.9543
0.290235	24.8275
0.290267	25.7008
0.291095	26.574
0.291923	27.4472
0.292751	28.3204
0.293579	29.1935
0.293612	30.0669
0.29444	30.9401
0.295268	31.8133
0.296095	32.6864
0.296923	33.5596
0.298636	36.8344
0.299464	37.7075
0.300292	38.5807
0.30112	39.4539
0.301152	40.3273
0.30198	41.2004
0.3028	41.8553
0.303628	42.7285
0.304456	43.6016
0.305284	44.4748
0.306112	45.348
0.306145	46.2214
0.306972	47.0945
0.3078	47.9677
0.308628	48.8409
0.309456	49.7141
0.310284	50.5873
0.311104	51.2421
0.311137	52.1155
0.311965	52.9887
0.313588	53.8617
0.316064	56.2629
0.316892	57.136
0.318507	57.7907
0.319335	58.6639
0.320959	59.5369
0.32337	60.1914
0.324985	60.8461
0.328175	61.0637
0.330538	60.4082
0.332908	59.971
0.334467	59.0973
0.336033	58.4419
0.336796	57.5684
0.338355	56.6947
0.339118	55.8212
0.339881	54.9476
0.340653	54.2924
0.341416	53.4189
0.342179	52.5454
0.342942	51.6718
0.343705	50.7983
0.344468	49.9248
0.345231	49.0513
0.345994	48.1777
0.346733	46.6492
0.346766	47.5225
0.347496	45.7757
0.348259	44.9021
0.349023	44.0286
0.349753	42.2817
0.349786	43.1551
0.350516	41.4082
0.351279	40.5347
0.35201	38.7878
0.352043	39.6611
0.352773	37.9142
0.353536	37.0407
0.354275	35.5122
0.354299	36.1672
0.355038	34.6386
0.355801	33.7651
0.356532	32.0182
0.356565	32.8916
0.357295	31.1447
0.358026	29.3978
0.358058	30.2712
0.358789	28.5243
0.359552	27.6508
0.360315	26.7772
0.361086	26.122
0.36185	25.2485
0.362613	24.375
0.363376	23.5014
0.364139	22.6279
0.365698	21.7542
0.366461	20.8807
0.367224	20.0072
0.367995	19.352
0.368758	18.4784
0.369521	17.6049
0.37108	16.7312
0.371851	16.076
0.372614	15.2025
0.374173	14.3288
0.374936	13.4553
0.375699	12.5817
0.376462	11.7082
0.377233	11.053
0.377997	10.1795
0.37876	9.30595
0.379523	8.43242
0.380286	7.55889
0.381845	6.68519
0.382608	5.81166
0.383346	4.28311
0.383379	5.15647
0.38411	3.40958
0.384873	2.53605
0.385636	1.66252
0.386399	0.788996
0.387162	-0.0845332
0.387925	-0.958062
0.388688	-1.83159
0.38946	-2.48678
0.390223	-3.36031
0.390986	-4.23384
0.391749	-5.10737
0.39248	-6.85425
0.392512	-5.9809
0.393243	-7.72778
0.394006	-8.60131
0.394769	-9.47484
0.39554	-10.13
0.396303	-11.0036
0.397066	-11.8771
0.397829	-12.7506
0.398593	-13.6241
0.399356	-14.4977
0.400119	-15.3712
0.400882	-16.2447
0.401645	-17.1183
0.402416	-17.7735
0.403179	-18.647
0.403942	-19.5205
0.404706	-20.394
0.405436	-22.1409
0.405469	-21.2676
0.406199	-23.0145
0.407758	-23.8882
0.408529	-24.5433
0.409292	-25.4169
0.410056	-26.2904
0.410819	-27.1639
0.411582	-28.0375
0.412345	-28.911
0.413912	-29.5664
0.414675	-30.4399
0.415438	-31.3134
0.416201	-32.1869
0.41776	-33.0606
0.418531	-33.7158
0.420089	-34.5895
0.420853	-35.4631
0.422419	-36.1184
0.423182	-36.992
0.4263	-38.7394
0.427867	-39.3947
0.429425	-40.2684
0.430992	-40.9238
0.432551	-41.7975
